📛央视频道,#genre#
CCTV-01,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV-02,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV-03,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV-04,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV-05,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV-5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV-06,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV-07,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV-08,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV-09,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV-10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV-11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV-12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV-13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV-14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV-15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV-16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV-17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17
CCTV-01,http://t.061899.xyz/tl/tl.php?id=cctv1
CCTV-02,http://t.061899.xyz/tl/tl.php?id=cctv2
CCTV-03,http://t.061899.xyz/tl/tl.php?id=cctv3
CCTV-04,http://t.061899.xyz/tl/tl.php?id=cctv4
CCTV-05,http://t.061899.xyz/tl/tl.php?id=cctv5
CCTV-5+,http://t.061899.xyz/tl/tl.php?id=cctv5p
CCTV-06,http://t.061899.xyz/tl/tl.php?id=cctv6
CCTV-07,http://t.061899.xyz/tl/tl.php?id=cctv7
CCTV-08,http://t.061899.xyz/tl/tl.php?id=cctv8
CCTV-09,http://t.061899.xyz/tl/tl.php?id=cctv9
CCTV-10,http://t.061899.xyz/tl/tl.php?id=cctv10
CCTV-11,http://t.061899.xyz/tl/tl.php?id=cctv11
CCTV-12,http://t.061899.xyz/tl/tl.php?id=cctv12
CCTV-13,http://t.061899.xyz/tl/tl.php?id=cctv13
CCTV-14,http://t.061899.xyz/tl/tl.php?id=cctv14
CCTV-15,http://t.061899.xyz/tl/tl.php?id=cctv15
CCTV-16,http://t.061899.xyz/tl/tl.php?id=cctv16
CCTV-17,http://t.061899.xyz/tl/tl.php?id=cctv17
📛卫视频道,#genre#
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
湖南卫视,http://t.061899.xyz/tl/tl.php?id=hunws
北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws
天津卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws
安徽卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws
辽宁卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws
湖北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws
广西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws
东南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws
海南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws
